"marca","nombre_fantasia","denominacion","RNPA"
"No Registra","Quelat Magnesio","Suplemento dietario con magnesio en comprimidos libre de gluten","01048498"
"No registra","Magnesio - Hierbas del Oasis","Suplemento dietario con magnesio libre de gluten","01040531"
"No registra","MSM Sport Framingham","Suplemento dietario con metilsulfonilmetano y magnesio, libre de gluten","01046215"
"No registra","Chiafresh","Suplemento dietario con omega 3, bebible. Libre de gluten","01045402"
"No registra","Chiafresh","Suplemento dietario con omega 3, en polvo. Libre de gluten","01045400"
"No registra","Hierbas del Oasis","Suplemento dietario con pasionaria, tilo, naranja, melisa y vitaminas B1 y B2, libre de gluten","01040551"
"No registra","Satial Total Carb Controller","Suplemento dietario con picolinato de cromo, l-arabinosa y extracto de poroto blanco en comprimidos libre de gluten","01048360"
"No Registra","Quelat Selenio","Suplemento dietario con selenio en comprimidos libre de gluten","01048510"
"No Registra","Selebound Orgánico","Suplemento dietario con selenio en comprimidos libre de gluten","01048513"
"No registra","Magrinha - Hierbas Del Oasis","Suplemento dietario con te verde, fucus, hisopo, marrubio y tripicolinato de cromo - Libre de gluten","01040539"
"No registra","Vitaminas C+E Hierbas del Oasis","Suplemento dietario con vitamina C y E libre de gluten","01040526"
"No registra","Fitoshot Kids","Suplemento dietario con vitamina C y fitoesteroles en polvo. Libre de gluten","01045377"
"No registra","Fitoshot","Suplemento dietario con vitamina C y fitoesteroles en polvo. Libre de gluten","01044784"
"No registra","Cados Extra Forte","Suplemento dietario con vitamina K, en comprimidos, libre de gluten","01046217"
"No registra","Cados","Suplemento dietario con vitaminas K en comprimidos. Libre de gluten","01044783"
"No Registra","Quelat Zinc Forte","Suplemento dietario con zinc, en comprimidos, libre de gluten","01048511"
"No registra","Deportiva Músculo con AZMB6","Suplemento dietario con zinc, magnesio y vitamina B6, E y arginina en comprimidos, libre de gluten","01046216"
"No registra","Cardo bendito tintura- Hierbas del oasis","Suplemento dietario de Cardo Bendito con vitamina C en solución alcohólica libre de gluten","01044059"
"Novarumpharma","Memory Forte","Suplemento dietario a base de calcio , l - fenilalanina, extractos vegetales, fosfolípidos y vitaminas en comprimidos. Libre de gluten","04066495"
"Novarumpharma","Calcio + Vitamina D3","Suplemento dietario a base de calcio y vitamina D3 en comprimidos - Libre de gluten","04066483"
"Novarumpharma","Lecitina + Chía","Suplemento dietario a base de fosfolipidos, calcio y omega 3. Granulado. Libre de gluten.","04066496"
"Novarumpharma","Vitamina K + D","Suplemento dietario a base de vitaminas K y B3 en comprimidos - libre de gluten","04066484"
"Nuctis D®","Nuctis D®","Suplemento dietario de vitamina D en gotas. Libre de gluten","0270002"
"Nutralife","No registra","Suplemento dietario a base de  azúcares con vitamina C libre de gluten","21-116812"
"Nutremax","Hydromax Sport Drink","Suplemento dietario a base de carbohidratos con agregado de potasio y vitaminas C y E sabor manzana libre de gluten."," 21-113444"
"Nutremax","Recovery Drink","Suplemento dietario a base de carbohidratos, proteínas, aminoácidos, minerales y vitamina C y E sabor ananá libre de gluten","21-113443"
"Nutremax","Gluco Tabs sabor limón","Suplemento dietario a base de carbohidratos, sabor limón libre de gluten","21-116539"
"Nutremax","Creatina Chews sabor limón","Suplemento dietario a base de creatina sabor limón libre de gluten","21-116498"
"Nutremax","Carnitina 600","Suplemento dietario a base de L- carnitina y biotina libre de gluten","21-116532"
"Nutremax","Prosalts","Suplemento dietario a base de vitamina D con agregado de minerales libre de gluten","21-116286"
"Nutridable Activament Mamá","Aceite de oliva","Aceite de oliva con omega 3. Libre de gluten","01045370"
"Nutridable Mamá con Activement","Omega 3 con vitamina E natural","Suplemento dietario con omega 3 y vitamina E natural, en gotas. Libre de gluten","01045401"
"Nutrifar Hospicenter","No registra","Suplemento dietario a base de proteína de soja, carbohidratos, lípidos, fibra, vitaminas y minerales. Sabor crema. Libre de gluten.","21-103564"
"Nutrifar Hospicenter","No registra","Suplemento dietario en polvo a base de proteína de soja, carbohidratos, lípidos, vitaminas y  minerales. Sabor crema. Libre de gluten","21-103578"
"Nutrilon","Nutrilon Suplemento Proteico","Suplemento dietario de proteínas lácteas hidrolizadas, para lactantes de bajo peso al nacer, en sobres - Libre de gluten","056-00-000686"
"Nutrosa","Nutrosa","Suplemento dietario en polvo a base de dextrosa. Libre de gluten","027-00-003383"
"Nutrosa","Nutrosa","Suplemento dietario en polvo a base de dextrosa. Libre de gluten","0276505"
"Ovoalbumen Plus","Gainer Sabor Vainilla","Suplemento dietario a base de carbohidratos, proteína láctea, albúmina de huevo y vitamina C con sabor a vainilla. En polvo. Libre de gluten","01042680"
"Polenéctar","No registra","Propóleos al 60% en solución hidroalcohólica de etanol. Libre de gluten","0270003"
"Polenéctar","No registra","Propóleos al 80% en solución hidroalcohólica de etanol. Libre de gluten","0270004"
"Polimerosa","Polimerosa","Suplemento dietario en polvo a base de maltodextrina -  Libre de gluten","027-00-003382"
"Polimerosa","Polimerosa","Suplemento dietario en polvo a base de maltodextrina. Libre de gluten","0276504"
"Pro Hyaluron","No registra","Suplemento dietario a base de lecitina de soja, gluconato de magnesio, vitamina c, gluconato de manganeso, glucosamina clorhidrato, extracto de cola de caballo, extracto de cereza, sabor arándano. Dietético. Libre de gluten","21-111525"
"Proteinex","Proteinex","Suplemento dietario a base de caseinato de calcio en polvo. Libre de gluten","0520014"
"Pulver","Pulver Power Barra","Suplemento dietario a base de carbohidratos y proteínas con sabor a chocolate en barra libre de gluten","01035022"
"Pulver","Pulver Power Barra","Suplemento dietario a base de carbohidratos y proteínas con sabor a frutilla en barra libre de gluten","01035023"
"Pulver","Ovoalbumen Plus Gainer Sabor Chocolate","Suplemento dietario a base de carbohidratos, proteína láctea, albúmina de huevo y vitamina C con sabor a chocolate. En polvo. Libre de gluten","01042681"
"Pulver","Calcasein","Suplemento dietario a base de caseinato de calcio en polvo. Libre de gluten","01041574"
"Pulver","Taurus","Suplemento dietario a base de L- arginina, L-glutamina, maltodextrina, taurina, L-leucina y vitamina C, sabor a naranja, en polvo. Libre de gluten","01043791"
"Pulver","L-Arginina 100%","Suplemento dietario a base de L-arginina en polvo. Libre de gluten","01042386"
"Pulver","L-carnitina","Suplemento dietario a base de L-carnitina en polvo sabor ananá. Libre de gluten","01044151"
"Pulver","Sport L-Glutamina 100%","Suplemento dietario a base de L-glutamina en polvo. Libre de gluten","01036368"
"Pulver","BCAA","Suplemento dietario a base de L-leucina, L-valina y L-isoleucina. Comprimidos. Libre de gluten 1","01041797"
"Pulver","Ripped Fast","Suplemento dietario a base de L-metionina, Garcinia cambogia, inositol, colina y L-carnitina. Comprimidos. Libre de gluten","01042859"
"Pulver","Total Fat Burner","Suplemento dietario a base de L-metionina, Garcinia y con sabor a naranja en polvo. Libre de gluten","01043792"
"Pulver","Sport – Maltodextrina Plus","Suplemento dietario a base de maltodextrina, vitamina C y Vitamina E en polvo. Libre de gluten","01041573"
"Pulver","Prolac Whey Protein","Suplemento dietario a base de proteína de suero lácteo con sabor chocolate en polvo. Libre de gluten","01042858"
"Pulver","Prolac Whey Protein","Suplemento dietario a base de proteína de suero lácteo con sabor frutilla en polvo. Libre de gluten","01042860"
"Pulver","Preparado proteico Ovoalbumen Mix con vegetales deshidratados – Hot Beverage","Suplemento dietario a base de proteínas, carbohidratos y vegetales deshidratados en polvo, libre de gluten","01041572"
"Pulver","Promix Protein","Suplemento dietario a base de proteínas, zinc y L-arginina con sabor a dulce de leche en polvo, libre de gluten","01041490"
"Pulver","Amino 6000","Suplemento dietario a base de suero lácteo, glutamina y taurina en comprimidos. Libre de gluten","01043790"
"Redoxitos","Redoxitos","Suplemento dietario a base de vitamina C, en pastillas masticables. Libre de gluten","056-00-009631"
"Secalbum","Secalbum","Suplemento dietario en polvo a base de caseinato de calcio. Libre de gluten","0276503"
"Secalbum","Secalbum","Suplemento dietario en polvo a base de caseinato de calcio. Libre de gluten","027-00-003416"
"Spiruline","Microalgas spirulina","Suplemento dietario a base de spirulina libre de gluten","21-047565"
"Spiruline","No registra","Suplemento dietario a base de spirulina y lecitina de soja libre de gluten","21-047590"
"Spiruline","No registra","Suplemento dietario a base de spirulina, ácido fólico, hierro y vitamina C libre de gluten","21-047573"
"Spiruline","Prodigest","Suplemento dietario a base de spirulina, aloe vera, alcachofa, boldo, carqueja, jengibre, vitaminas, fibras solubles y enzimas libre de gluten","21-107937"
"Spiruline","Uroprost","Suplemento dietario a base de spirulina, arándano rojo, licopeno, vitamina C, vitamina E, selenio y zinc libre de gluten","21-107891"
"Spiruline","No registra","Suplemento dietario a base de spirulina, calcio, vitamina D, ácido fólico y minerales - libre de gluten","21-101569"
"Spiruline","Glucofit","Suplemento dietario a base de spirulina, canela, uva, cúrcuma, pimienta negra, inulina, bioflavonoides, vitaminas y minerales libre de gluten","21-107918"
"Spiruline","No registra","Suplemento dietario a base de spirulina, centella asiática, ginkgo biloba, ginseng, l-tirosina, vitamina C, hierro y zinc - libre de gluten","21-101476"
"Spiruline","Clorofila plus","Suplemento dietario a base de spirulina, clorofila y vitamina C libre de gluten","21-107863"
"Spiruline","Detox","Suplemento dietario a base de spirulina, clorofila, cúrcuma, pimienta negra, alcachofa, bioflavonoides y vitamina C libre de gluten","21-107862"
"Spiruline","No registra","Suplemento dietario a base de spirulina, cobre, manganeso, zinc, vitamina C y vitamina E libre de gluten","21-047574"
"Spiruline","Fito-col","Suplemento dietario a base de spirulina, fitoesteroles, ácidos grasos omega 3 y 6, lecitina, bioflavonoides, vitaminas y aminoácidos libre de gluten","21-107957"
"Spiruline","No registra","Suplemento dietario a base de spirulina, ginseng, L-tirosina, bioflavonoides, vitaminas y minerales libre de gluten","21-107970"
"Spiruline","No registra","Suplemento dietario a base de spirulina, isoflavonas de soja, vitaminas y minerales libre de gluten","21-107919"
"Spiruline","No registra","Suplemento dietario a base de spirulina, l-arginina, l-tirosina, ginseng coreano, ginseng siberiano, damiana, ginkgo biloba, schizandra, vitaminas y minerales libre de gluten","21-107971"
"Spiruline","No registra","Suplemento dietario a base de spirulina, lecitina de soja, L-fenilalanina, algas pardas y guaraná libre de gluten","21-047589"
"Spiruline","No registra","Suplemento dietario a base de spirulina, luteína, arándano azul, zanahoria, semillas de uva, coenzima Q10, vitaminas y minerales libre de gluten","21-107890"
"Spiruline","No registra","Suplemento dietario a base de spirulina, te verde, ginkgo biloba, coenzima Q10, vitaminas y minerales - libre de gluten","21-101570"
"Spiruline","No registra","Suplemento dietario a base de spirulina, valeriana, pasiflora, tilo y minerales libre de gluten","21-047599"
"Spiruline","No registra","Suplemento dietario a base de spirulina, vitamina C, vitamina E, coenzima Q10, flavonoides, Ginkgo biloba, magnesio y zinc libre de gluten","21-047806"
"Stress Down","Relax Drink","Suplemento dietario bebible a base de vitamina B5 y vitamina C con extractos vegetales y L-teanina gasificado, libre de gluten","01045716"
"Sundance Vitamins","Norwegian Cod Liver","Suplemento dietario a base de aceite de hígado de bacalao y vitaminas A y D en cápsulas - Libre de gluten","052-00-008992"
"Sundance Vitamins","Evening Primrose Oil 1000","Suplemento dietario a base de aceite de onagra en cápsulas -Libre de gluten","052-00-008252"
"Sundance Vitamins","Odorless Fish Oil 1200 mg","Suplemento dietario a base de aceite de pescado en cápsulas - Libre de gluten","052-00-008565"
"Sundance Vitamins","Ultra Cinnamon","Suplemento dietario a base de canela, biotina y cromo en cápsulas - Libre de gluten","052-00-009162"
"Sundance Vitamins","Flush Free Niacin 500 mg","Suplemento dietario a base de niacina e inositol en cápsulas -  Libre de Gluten","052-00-008567"
"Sundance Vitamins","B-12 500 mcg","Suplemento dietario a base de vitamina B12 en tabletas - Libre de gluten","052-00-008566"
"Vita Verán","Hipercalórico con triglicéridos de cadena media","Suplemento dietario a base de carbohidratos y aceite de coco con caseinato de sodio sabor a vainilla, en polvo. Libre de gluten","04065766"
"Vital","No registra","Suplemento dietario a base de extracto de guaraná, vitamina A, vitamina E, vitamina C, vitaminas del grupo B, zinc y lecitina de soja. Sabor a frutilla y vainilla dietético. Libre de gluten","21-111490"
"Cachamai","No registra","Boldo en saquitos libre de gluten","21-026299"
"Cachamai","Manzanilla","Hierba para infusión. Libre de gluten","21-026297"
"Cachamai","Menta Cachamai","Menta en saquitos. Libre de gluten","21-026298"
"Cachamai","Envase rosa","Mezcla de hierbas para infusiones con coriandro libre de gluten","21-026218"
"Cachamai","Envase amarillo","Mezcla de hierbas para infusiones con hinojo y coriandro. Libre de gluten","21-026217"
"Cachamai","Cachamai O´Clock Lemongrass +Jengibre","Mezcla de lemongrass, pimienta y jengibre para infusiones libre de gluten","21-113707"
"Cachamai","Té negro clásico Cachamai","Té en saquitos. Libre de gluten","21-026296"
"Cachamai","Cachamai O´Clock Earl Grey","Te negro con esencia de bergamota libre de gluten"," 21-113486"
"Cachamai","Cachamai O´ Clock","Te negro con hibiscus, canela y rosa mosqueta libre de gluten","21-113609"
"Cachamai","Cachamai O´ Clock","Te negro saborizado con vainilla, chocolate y naranja en saquitos libre de gluten","21-113485"
"Cachamai","Siluet","Té verde con extracto de hierbas sabor a mandarina libre de gluten","21-097624"
"Cachamai","Fresh","Té verde con lapacho y mix de frutas en saquitos libre de gluten","21-099360"
"Cachamai","No registra","Te verde en saquitos. Libre de gluten.","21-041744"
"Cachamai","No registra","Tilo en saquitos libre de gluten","21-026295"
"Cachamai","Tilo + Melisa","Hierbas para infusión en saquitos libre de gluten","21-103242"
"Cachamai","Boldo + Carqueja","Mezcla de hierbas en saquitos libre de gluten","21-103241"
"Cachamai","Vital","Té verde con extracto de hierbas sabor a grosella negra en saquitos libre de gluten","21-097688"
"Cachamai","Relax","Té verde con extracto de hierbas saborizados con miel en saquitos libre de gluten","21-097742"
"Cachamai","Cachamai sabor a frutilla","Té verde sabor a frutillas en saquitos libre de gluten","21-103196"
"Cachamai","Cachamai sabor a grosella negra","Té verde sabor a grosella negra en saquitos libre de gluten","21-103194"
"Cachamai","Cachamai sabor a mandarina","Té verde sabor a mandarina en saquitos libre de gluten","21-103195"
"Disfrutarté","Tesoro azteca","Té negro en hebras saborizado con cacao y naranja. Libre de gluten","14024514"
"Disfrutarté","Natiuk Masala","Té negro en hebras saborizado con canela, pimienta, cardamomo y clavo de olor. Libre de gluten","14025309"
"Disfrutarté","Kardamomum","Té negro en hebras saborizado con cardamomo. Libre de gluten","14025310"
"Disfrutarté","Jardín Patagonia","Té negro en hebras tipo Oolong saborizado con hibiscus y rosa mosqueta. Libre de gluten","14024510"
"Disfrutarté","Té negro en hebras tipo Oolong con vainilla y manzana. “Lady Sinensis”. Libre de gluten","Té negro en hebras. Libre de gluten","14024511"
"Disfrutarté","Té negro en hebras con manzana, canela y jengibre. “Pasión en Granada”. Libre de gluten","Té negro en hebras. Libre de gluten","14024512"
"Disfrutarté","Té negro en hebras tipo Oolong con arándanos. “Austral Azul”. Libre de gluten","Té negro en hebras. Libre de gluten","14024521"
"Disfrutarté","Emperador","Té negro en hebras. Libre de gluten","14024520"
"Disfrutarté","Ivy Magreb","Té verde en hebras saborizado con menta y caléndula. Libre de gluten","14024519"
"Disfrutarté","Esmeralda Imperial","Té verde en hebras. Libre de gluten","14024515"
"Disfrutarté","Té verde con durazno. “Verde Tentación”. Libre de gluten","Té verde en hebras. Libre de gluten","14024518"
"Disfrutarté","Té verde con cáscaras de naranjas, piel de mandarinas y flores de jazmín. “Litoral en Flor”. Libre de gluten","Té verde en hebras. Libre de gluten","14024522"
"Hierbas del Oasis","Alcachofa","Alcachofa en saquitos. Libre de gluten","01045497"
"Hierbas del Oasis","Carqueja","Carqueja en saquito. Libre de gluten","01045493"
"Hierbas del Oasis","Jengibre","Jengibre en saquitos. Libre de gluten","01045498"
"Hierbas del Oasis","Marcela","Marcela en saquitos. Libre de gluten","01045496"
"Hierbas del Oasis","Stevia","Stevia en saquitos. Libre de gluten","01045495"
"HM Hebras Misioneras","No registra","Té negro de hojas enteras. Libre de Gluten. Sin T.A.C.C.","14026122"
"HM Hebras Misioneras","No registra","Té rojo de hojas enteras. Libre de Gluten. Sin T.A.C.C.","14026123"
"HM Hebras Misioneras","No registra","Té verde de hojas enteras. Libre de Gluten. Sin T.A.C.C.","14026124"
"Jesper","No registra","Té Negro de Hojas Enteras Tipo OP. Libre de Gluten. Sin T.A.C.C.","14023736"
"Jesper","Té Rojo en Hebras. Libre de Gluten. Sin T.A.C.C.","Té Rojo. Libre de Gluten. Sin T.A.C.C","14024924"
"Jesper","Té Verde en Hojas Enteras Tipo Ban Cha. Libre de Gluten. Sin T.A.C.C.","Té Verde. Libre de Gluten. Sin T.A.C.C.","14026166"
"Jesper","Té Verde en Hebras. Libre de Gluten. Sin T.A.C.C","Té Verde. Libre de Gluten. Sin T.A.C.C.","14023735"
"José Cristal","Pipedrón + Melisa + Coriandro","Mezcla de hierbas y especias aromáticas en saquitos libre de gluten","21-101119"
"José Cristal","Surtido de infusiones","Mezcla de té y hierbas para infusiones en saquitos libre de gluten","21-101942"
"José Cristal","Té negro + Canela + Clavo de olor","Té negro con especias aromáticas en saquitos libre de gluten","21-101593"
"José Cristal","Té negro + Rosa mosqueta","Té negro con rosa mosqueta en saquitos libre de gluten","21-101143"
"José Cristal","Earl Grey Cachamai","Té negro saborizado con esencia de bergamotas en saquitos libre de gluten","21-105640"
"José Cristal","Té negro sabor vainilla + chocolate + naranja","Té negro saborizado con vainilla, chocolate y naranja en saquitos libre de gluten","21-105866"
"Nescafé Dolce Gusto","Nestea Peach","Polvo para preparar bebida analcohólica dietética a base de azúcar y extracto de té, con aromatizante a durazno, de bajas calorías, en cápsulas. Libre de gluten","0620596"
"Nescafé Dolce Gusto","Nestea Lemon","Polvo para preparar bebida analcohólica dietética a base de azúcar y extracto de té, con aromatizante a limón, de bajas calorías, en cápsulas. Libre de gluten","0620749"
"Nescafé Dolce Gusto","Chai Tea Latte","Polvo para preparar bebida sin alcohol a base de leche y té aromatizado con especias y leche con azúcar, en cápsulas. Libre de gluten","0620685"
"Nestlé - Nestea","No registra","Polvo para preparar bebida analcohólica a base de azúcar y extracto de té, con aromatizante a limón. Libre de gluten - Para uso en máquina automática","0270527"
"No registra","Hierbas del Oasis Boldo","Boldo en saquitos libre de gluten","01040040"
"No registra","Hierbas del Oasis","Canela en saquitos, libre de gluten","01046612"
"No registra","Hierbas del Oasis Cedrón","Cedrón en saquitos, libre de gluten","01040043"
"No registra","Hierbas del Oasis","Cedrón, arándanos y hibiscos orgánicos en saquitos, libre de gluten","01046607"
"No registra","Hierbas del Oasis Manzanilla","Manzanilla en saquitos, libre de gluten","01040041"
"No registra","Hierbas del Oasis","Melisa en saquitos, libre de gluten","01046615"
"No registra","Hierbas del Oasis Menta","Menta en saquitos libre de gluten","01040045"
"No registra","Hierbas del Oasis Encuentros","Mezcla de cáscara de naranja, canela y pimienta de Jamaica para infusiones en saquitos, libre de gluten","01041329"
"No registra","Hierbas del Oasis Frutas Cítricas","Mezcla de cáscara de naranja, limón y pomelo para infusiones en saquito, libre de gluten","01041328"
"No registra","Hierbas del Oasis Mezcla N° 14","Mezcla de hierbas a base de alcachofa, regaliz, boldo, extracto de ciruela y sen para infusiones en saquitos, libre de gluten","01040395"
"No registra","Hierbas del Oasis Mezcla N° 3","Mezcla de hierbas a base de boldo, marcela, incayuyo y menta para infusiones en saquitos, libre de gluten","01040363"
"No registra","Hierbas del Oasis Mezcla N° 8","Mezcla de hierbas a base de eucalipto, tomillo y jengibre para infusiones en saquitos, libre de gluten","01040367"
"No registra","Hierbas del Oasis Mezcla N° 1","Mezcla de hierbas a base de melisa, cáscara de naranja y maracuyá deshidratada y tilo para infusiones en saquitos libre de gluten","01040368"
"No registra","Hierbas del Oasis Mezcla N° 15","Mezcla de hierbas a base de orégano, maracuyá y cálamo aromático para infusiones en saquito, libre de gluten","01040366"
"No registra","Hierbas del Oasis - Dietafruta","Mezcla de hierbas a base de té verde, zarzaparrilla, cedrón, manzana deshidratada, cáscara de naranja y fucus para infusiones en saquitos, libre de gluten","01040048"
"No registra","Hierbas del Oasis Mezcla N° 11","Mezcla de hierbas a base de zarzaparrilla, alcachofa, té verde y alfalfa para infusiones en saquitos libre de gluten","01040365"
"No registra","Hierbas del Oasis India","Mezcla de jengibre, cardomomo y canela para infusiones en saquitos, libre de gluten","01045078"
"No registra","Hierbas del Oasis Frutas Arabia","Mezcla de jengibre, menta, cáscara de naranja y limón para infusiones en saquito, libre de gluten","01045076"
"No registra","Hierbas del Oasis África","Mezcla de melisa, coriandro, tomillo y cedrón para infusiones en saquitos, libre de gluten","01045079"
"No registra","Hierbas del Oasis Jamaica","Mezcla de melisa, hibisco y cáscara de naranja para infusiones en saquitos, libre de gluten","01045077"
"No registra","Hierbas del Oasis Arándano","Mezcla de té negro y arándano para infusiones en saquito, libre de gluten","01041322"
"No registra","Hierbas del Oasis Frutos Amarillos","Mezcla de té negro y cáscara de naranja para infusiones en saquitos, libre de gluten","01041333"
"No registra","Hierbas del Oasis - Vainilla Coco","Mezcla de té negro y coco para infusiones en saquitos, libre de gluten","01041331"
"No registra","Hierbas del Oasis Frutilla","Mezcla de té negro y hibisco para infusiones en saquitos, libre de gluten","01041330"
"No registra","Hierbas del Oasis Jazmín","Mezcla de té negro y sabor jazmín para infusiones en saquito, libre de gluten","01041336"
"No registra","Hierbas del Oasis Frutos Azules","Mezcla de té negro, arándano, cassis y sauco para infusiones en saquito, libre de gluten","01041321"
"No registra","Hierbas del Oasis Mezcla frutos rojos","Mezcla de té negro, hibisco, rosa mosqueta y cáscara de naranja para infusiones en saquitos, libre de gluten","01041345"
"No registra","Hierbas del Oasis Manzana – Canela - Miel","Mezcla de té negro, manzana, canela y sabor a miel para infusiones en saquitos, libre de gluten","01041334"
"No registra","Hierbas del Oasis Flores Rojas","Mezcla de té negro, rosa mosqueta, cáscara de naranja e hibisco para infusiones en saquito, libre de gluten","01041326"
"No registra","Hierbas del Oasis Marruecos","Mezcla de té verde y menta para infusiones en saquitos, libre de gluten","01041327"
"No registra","Hierbas del Oasis Asia","Mezcla de té verde, jengibre y anís para infusiones en saquito, libre de gluten","01041323"
"No registra","Hierbas del Oasis Rosa Mosqueta","Rosa mosqueta en saquitos libre de gluten","01040044"
"No registra","Hierbas del Oasis","Rosa mosqueta y yerba dulce orgánica en saquitos, libre de gluten","01046616"
"No registra","Hierbas del Oasis","Spirulina y cáscara de naranjas en saquitos, libre de gluten","01046614"
"No registra","Hierbas del Oasis Té Rojo (Red Tea)","Té en saquitos libre de gluten","01040039"
"No registra","Hierbas del Oasis Té Rojo","Té libre de gluten","01041332"
"No registra","Hierbas del Oasis Té Negro","Té libre de gluten","01041324"
"No registra","Hierbas del Oasis Té Negro Orgánico","Té negro en saquitos, libre de gluten","01040130"
"No registra","Hierbas del Oasis","Té rojo orgánico en saquitos, libre de gluten","01046618"
"No registra","Hierbas del Oasis Te Verde (Green Tea)","Té verde en saquitos, libre de gluten","01040046"
"No registra","Hierbas del Oasis","Té verde orgánico en saquitos, libre de gluten","01046620"
"No registra","Hierbas del Oasis Green Tea","Té verde, libre de gluten","01041325"
"No registra","Hierbas del Oasis Tilo","Tilo en saquitos, libre de gluten","01040042"
"Organikal","Té verde molido para preparar infusiones. Libre de gluten","Matcha en polvo","21-117384"
"Tucanguá","No registra","Té verde. Libre de gluten sin T.A.C.C.","14023540"
"Urritia","No registra","Té Negro Libre de Gluten. Sin T.A.C.C","1400001593"
"Ananías gluten free wines","No registra","Vino varietal tinto Malbec 2018","1625142"
"Aguamate","Yerba mate elaborada con palo -libre de gluten. Sin T.A.C.C orgánico","Yerba mate elaborada con palo. Libre de gluten Sin T.A.C.C.","14025470"
"Aguantadora","No registra","Yerba Mate Canchada. Libre de Gluten Sin T.A.A.C.","14025944"
"Aguantadora","Yerba mate elaborada con palo compuesta libre de gluten","Yerba mate elaborada con palo compuesta. Libre de gluten","14021751"
"Aguantadora","Yerba mate elaborada con palo libre de gluten","Yerba mate elaborada con palo. Libre de gluten","1400005233"
"Aguantadora","Yerba mate elaborada despalada libre de gluten","Yerba mate elaborada despalada. Libre de gluten","1406679511"
"Aguantadora","Yerba mate elaborada con palo. Libre de gluten. Sin T.A.C.C.","Yerba mate elaborada con palo. Libre de gluten. Sin T.A.C.C.","14025752"
"Aguantadora","Yerba mate elaborada con palo. Libre de gluten. Sin T.A.C.C.","Yerba mate elaborada con palo. Libre de gluten. Sin T.A.C.C.","14025753"
"Aguantadora","Yerba mate elaborada con palo. Libre de gluten. Sin T.A.C.C.","Yerba mate elaborada con palo. Libre de gluten. Sin T.A.C.C.","14025754"
"Alimentos Fundación Favaloro","No registra","Yerba Mate Elaborada con Palo . Libre de Gluten sin T.A.C.C","14024552"
"Amanda","Yerba mate elaborada con palo compuesta con hierbas - Libre de gluten sin T.A.C.C.","Yerba mate elaborada con palo compuesta con peperina, poleo, incayuyo, menta, tilo, boldo y cedrón - Libre de gluten sin T.A.C.C.","14021076"
"Amanda","Yerba mate elaborada con palo. Saborizada con limón. Libre de gluten, sin T.A.C.C.","Yerba mate elaborada con palo. Aromatizada con limón. Libre de gluten sin T.A.C.C.","14021759"
"Amanda","Yerba mate elaborada con palo. Saborizada con naranja. Libre de gluten. Sin T.A.C.C.","Yerba mate elaborada con palo. Aromatizada con naranja . Libre de gluten - Sin T.A.C.C .","14021758"
"Amanda","Yerba mate elaborada con palo. Libre de gluten - Sin TACC - Campo","Yerba mate elaborada con palo. Libre de gluten. Sin T.A.C.C.","14025256"
"Amanda","Yerba mate elaborada orgánica libre de gluten","Yerba mate elaborada orgánica. Libre de gluten","14025171"
"Amanda","Yerba mate elaborada despalada","Yerba mate elaborada sin palos. Libre de gluten","14020119"
"Amanda","Yerba mate elaborada Amanda selección especial","Yerba mate elaborada. Libre de gluten","14024980"
"Amanda","No registra","Yerba mate elaborada. Libre de gluten. Sin T.A.C.C.","14000208"
"Amanda","Mate cocido. Libre de gluten. Sin TACC.","Yerba mate en saquitos - Libre de gluten - Sin TACC.","14019634"
"Amanda","Yerba Mate en Saquitos -sabor Durazno - Libre de gluten Sin T.A.C.C.","Yerba Mate en Saquitos Aromatizada con Durazno -Libre de gluten Sin T.A.C.C.","14020218"
"Amanda","Yerba mate en Saquitos - sabor Limón - Libre de gluten Sin T.A.C.C.","Yerba Mate en Saquitos Aromatizada con Limon-Libre de gluten Sin T.A.C.C","14020217"
"Amanda","Yerba mate soluble instantánea - libre de gluten sin T.A.C.C.","Yerba mate soluble - Libre de gluten sin T.A.C.C.","14022056"
"Amanda","No registra","Yerba mate soluble. Libre de gluten Sin T.A.C.C.","140220256"
"Amanda Premium","Yerba mate elaborada libre de gluten","Yerba mate elaborada. Libre de gluten","14024878"
"Caá-yarí","Yerba mate elaborada con palo libre de gluten","Yerba mate elaborada con palo. Libre de gluten. Sin T.A.C.C.","14025020"
"Cachamai","Siluet Plus","Yerba mate compuesta con el agregado de fucus, té verde y cáscara de naranja. Libre de gluten","21-098327"
"Cachamai","Cachamate siluet plus endulzada","Yerba mate compuesta endulzada, con el agregado de fucus, té verde y cáscara de naranja amarga, dietética. Libre de gluten","21-098609"
"Cachamai","Cachamate Siluet","Yerba mate elaborada con hierbas libre de gluten","21-037276"
"Cachamai","Cachamate","Yerba mate elaborada con palo – Libre de gluten","21-023412"
"Cachamai","Cachamate sabor a naranja","Yerba mate elaborada con palo saborizada con naranja libre de gluten","21-030599"
"Cachamai","Cachamate con peperina","Yerba saborizada con peperina libre de gluten","21-030600"
"Cachamai","Cachamate pampeana","Yerba mate compuesta saborizada libre de gluten","21-097292"
"Cachamate","Cachamate con mezcla de hierbas","Yerba mate con mezcla de hierbas aromáticas. Libre de gluten","21-000903"
"Cachamate","Cachamate con mezcla de hierbas","Yerba mate con palo compuesta con hinojo e incayuyo. Libre de gluten","21-000904"
